@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
0.15,0.14,0.01,0.00,0.45,16324608,9603000,6722000,9
0.12,0.12,0.01,0.00,0.30,10127071,9100000,1011000,9
0.48,0.47,0.02,0.00,1.30,44265471,42245000,2011000,9
0.15,0.14,0.01,0.00,0.36,12496155,8324000,4162000,9
0.23,0.22,0.01,0.00,0.55,16779636,12825000,3946000,9
0.23,0.22,0.01,0.00,0.56,17330952,15402000,1925000,9
0.49,0.48,0.02,0.00,1.26,40512700,40507000,0,9
0.04,0.04,0.00,0.00,0.12,3606069,1803000,1803000,9
0.15,0.15,0.01,0.00,0.37,12226084,10191000,2038000,9
0.15,0.14,0.01,0.00,0.37,11535927,9615000,1923000,9
0.50,0.49,0.02,0.00,1.23,40217180,38202000,2010000,9
0.14,0.14,0.01,0.00,0.34,11449395,9369000,2082000,9
0.20,0.19,0.01,0.00,0.48,16049752,16048000,0,9
0.05,0.05,0.00,0.00,0.14,4869130,4824000,0,9
0.78,0.75,0.06,0.00,2.04,69035853,59848000,8830000,10
1.10,1.07,0.05,0.00,2.71,90053580,86027000,4001000,10
1.48,1.43,0.09,0.00,3.58,121497355,115348000,6018000,10
0.93,0.90,0.08,0.00,2.39,82055144,75023000,7002000,10
0.82,0.78,0.07,0.00,2.15,72877074,60864000,11973000,10
1.46,1.41,0.09,0.00,3.65,119404204,110334000,9027000,10
1.28,1.22,0.12,0.00,3.37,116686401,105693000,10968000,10
1.13,1.09,0.05,0.00,2.76,87440468,78476000,8940000,10
1.17,1.14,0.05,0.00,2.74,92054536,89030000,3001000,10
1.50,1.44,0.09,0.00,3.80,124280448,116244000,8016000,10
2.03,1.97,0.15,0.00,5.06,175678486,160678000,14970000,10
1.90,1.84,0.18,0.00,5.13,183872918,173793000,10045000,10
0.48,0.46,0.03,0.00,1.34,48761819,42757000,5966000,10
1.51,1.47,0.09,0.00,3.64,121968544,117918000,4031000,10
1.35,1.30,0.10,0.00,3.52,125010985,109028000,16004000,10
1.14,1.11,0.05,0.00,2.76,91139271,87103000,4004000,10
1.10,1.07,0.06,0.00,2.79,93780926,87779000,5984000,10
0.49,0.48,0.03,0.00,1.23,41427388,34336000,7069000,10
0.51,0.50,0.03,0.00,1.37,48107693,43084000,5009000,10
0.86,0.83,0.07,0.00,2.24,76117309,61073000,15018000,10
0.61,0.59,0.04,0.00,1.79,71500489,69188000,2005000,11
0.75,0.72,0.03,0.00,1.84,62750958,61749000,995000,11
0.60,0.59,0.03,0.00,1.58,58805537,57807000,996000,11
0.67,0.66,0.03,0.00,1.72,57244051,56238000,1004000,11
0.66,0.65,0.03,0.00,1.61,55699278,54578000,992000,11
0.65,0.63,0.03,0.00,1.65,56963557,55891000,998000,11
0.63,0.61,0.03,0.00,1.60,54312374,53299000,1005000,11
0.58,0.57,0.03,0.00,1.50,51853934,50762000,995000,11
0.59,0.57,0.03,0.00,1.50,51698440,50722000,994000,11
0.65,0.63,0.03,0.00,1.63,56058878,55040000,1000000,11
0.98,0.94,0.04,0.00,2.47,86433873,86429000,0,11
4.17,4.06,0.16,0.00,9.62,317480311,316371000,1001000,11
0.62,0.61,0.03,0.00,1.57,54699972,53692000,994000,11
0.62,0.61,0.03,0.00,1.58,54312797,53309000,1005000,11
1.21,1.18,0.05,0.00,3.18,107746730,106735000,997000,11
7.78,7.57,0.31,0.00,18.09,596772131,594549000,1998000,11
0.63,0.60,0.03,0.00,1.63,55652431,53660000,1987000,11
0.67,0.66,0.03,0.00,1.71,58414846,58384000,0,11
0.75,0.73,0.04,0.00,1.93,65911068,65902000,0,11
0.65,0.63,0.03,0.00,1.74,56871978,56871000,0,11
2.26,2.17,0.13,0.00,6.15,223919007,209655000,13910000,12
1.24,1.22,0.05,0.00,2.98,94418171,89366000,5020000,12
1.11,1.08,0.05,0.00,2.75,95275234,93268000,2005000,12
2.66,2.57,0.16,0.00,6.69,229032115,211955000,16996000,12
1.19,1.16,0.05,0.00,2.85,91190216,88181000,3006000,12
1.28,1.25,0.05,0.00,3.09,98139529,95074000,3002000,12
0.42,0.41,0.02,0.00,1.05,33972090,30966000,2996000,12
0.41,0.40,0.02,0.00,0.98,32379480,28462000,3925000,12
2.02,1.95,0.10,0.00,4.94,173121566,167091000,6003000,12
2.29,2.22,0.11,0.00,5.49,188276486,180252000,8011000,12
0.42,0.40,0.02,0.00,1.04,33278132,32257000,1008000,12
1.30,1.26,0.05,0.00,3.27,101004619,96988000,3999000,12
0.49,0.47,0.02,0.00,1.18,39260572,35121000,4013000,12
1.20,1.17,0.07,0.00,3.16,111885941,104871000,6991000,12
1.28,1.25,0.05,0.00,3.15,102084133,97045000,5002000,12
1.03,1.00,0.06,0.00,2.72,98116867,91012000,7000000,12
1.20,1.16,0.07,0.00,3.15,112292371,106270000,6015000,12
0.51,0.49,0.02,0.00,1.25,41881720,39733000,2037000,12
1.38,1.33,0.08,0.00,3.73,128576018,121586000,6976000,12
2.16,2.09,0.11,0.00,5.62,188739866,182716000,5990000,12
0.13,0.13,0.01,0.00,0.30,10323142,7260000,2722000,13
0.30,0.29,0.01,0.00,0.71,22860712,21864000,993000,13
0.32,0.31,0.01,0.00,0.79,25253744,23234000,2020000,13
0.11,0.11,0.01,0.00,0.31,11292561,10258000,1025000,13
0.34,0.32,0.01,0.00,0.81,25430810,23402000,2035000,13
0.31,0.30,0.01,0.00,0.73,24353856,24360000,0,13
0.31,0.30,0.01,0.00,0.77,25079928,24069000,1002000,13
0.12,0.12,0.01,0.00,0.30,9859880,7891000,1972000,13
0.26,0.25,0.01,0.00,0.72,26023371,23029000,3003000,13
0.31,0.29,0.01,0.00,0.74,23178004,22123000,1005000,13
0.30,0.29,0.01,0.00,0.74,23489052,21524000,1956000,13
0.12,0.12,0.01,0.00,0.30,10126465,9113000,1012000,13
0.30,0.29,0.01,0.00,0.74,22821354,21822000,991000,13
0.35,0.35,0.02,0.00,0.88,28178963,27057000,1002000,13
0.30,0.28,0.01,0.00,0.73,23467400,21514000,1955000,13
0.29,0.28,0.01,0.00,0.71,22818171,21829000,992000,13
0.33,0.31,0.01,0.00,0.82,25314986,22383000,2919000,13
0.29,0.28,0.01,0.00,0.70,22881401,21890000,995000,13
0.32,0.30,0.01,0.00,0.79,25501496,22489000,2933000,13
0.29,0.28,0.01,0.00,0.70,22861321,22849000,0,13
0.67,0.65,0.03,0.00,1.74,59539503,53084000,6009000,14
1.67,1.62,0.09,0.00,4.41,161015616,156986000,3999000,14
4.22,4.07,0.27,0.00,11.26,405363873,399267000,6004000,14
1.96,1.89,0.11,0.00,5.19,188909903,178853000,9991000,14
2.30,2.23,0.13,0.00,5.99,216543359,207489000,9021000,14
1.90,1.83,0.11,0.00,5.16,183573948,173581000,9975000,14
2.22,2.15,0.11,0.00,5.75,205740270,198719000,6990000,14
2.03,1.97,0.10,0.00,5.40,193540508,188530000,4987000,14
2.31,2.23,0.13,0.00,6.15,216590779,201500000,14962000,14
1.83,1.76,0.10,0.00,4.79,173697195,162694000,10979000,14
1.17,1.13,0.08,0.00,3.08,109201005,95277000,13894000,14
2.27,2.18,0.13,0.00,5.86,210711727,198702000,11982000,14
2.02,1.95,0.11,0.00,5.24,186930445,169915000,16991000,14
2.52,2.42,0.14,0.00,6.64,231418064,214387000,17030000,14
1.63,1.57,0.08,0.00,4.41,162495003,161483000,996000,14
0.61,0.59,0.03,0.00,1.61,56057960,54975000,999000,14
0.94,0.91,0.06,0.00,2.40,83613956,71510000,12086000,14
0.53,0.51,0.03,0.00,1.38,47647000,45597000,1982000,14
1.34,1.30,0.08,0.00,3.35,115782028,100583000,15087000,14
1.92,1.85,0.12,0.00,5.10,183116998,167193000,15923000,14
0.26,0.26,0.02,0.00,0.72,25762561,19699000,1876000,15
0.58,0.56,0.03,0.00,1.53,53541352,45388000,8069000,15
0.63,0.60,0.03,0.00,1.59,52464150,51450000,1008000,15
0.66,0.64,0.03,0.00,1.63,54938806,53915000,998000,15
0.60,0.58,0.03,0.00,1.49,49826455,48818000,996000,15
0.59,0.56,0.03,0.00,1.46,48718178,45717000,2981000,15
0.57,0.55,0.03,0.00,1.42,49547278,45582000,3963000,15
0.58,0.56,0.03,0.00,1.49,48481933,45470000,2965000,15
3.86,3.76,0.19,0.00,9.37,299854869,292739000,6993000,15
1.67,1.62,0.07,0.00,4.10,131020901,126907000,3997000,15
0.58,0.56,0.03,0.00,1.45,48364011,44389000,3945000,15
0.56,0.54,0.03,0.00,1.43,48857481,47852000,1018000,15
0.60,0.58,0.03,0.00,1.51,51102832,48058000,3003000,15
1.68,1.63,0.07,0.00,4.19,132991735,129869000,2996000,15
0.63,0.61,0.03,0.00,1.59,53165612,51029000,2001000,15
0.62,0.60,0.03,0.00,1.57,51805190,48797000,2987000,15
0.61,0.59,0.03,0.00,1.58,51946094,49851000,1994000,15
2.43,2.37,0.14,0.00,6.37,210933614,206873000,3997000,15
0.59,0.57,0.03,0.00,1.54,50757396,46670000,3971000,15
1.64,1.60,0.07,0.00,4.08,131829068,129799000,2012000,15
1.21,1.15,0.10,0.00,3.67,134716659,2089000,4178000,16
1.47,1.41,0.08,0.00,3.84,139610420,134524000,4982000,16
1.54,1.48,0.08,0.00,3.97,143669686,137629000,5983000,16
0.88,0.85,0.04,0.00,2.22,76935896,70919000,5993000,16
1.53,1.48,0.07,0.00,3.93,138873947,135888000,2975000,16
1.51,1.45,0.08,0.00,3.98,143552149,138544000,4983000,16
1.48,1.43,0.07,0.00,3.98,141004344,136992000,3999000,16
1.54,1.50,0.08,0.00,4.04,147664814,143660000,3990000,16
1.03,0.98,0.12,0.00,2.66,86539787,83496000,3017000,16
1.51,1.45,0.07,0.00,3.94,139408876,136369000,3008000,16
1.80,1.74,0.08,0.00,4.30,142414612,136443000,5975000,16
1.38,1.33,0.08,0.00,3.80,142505229,137405000,4978000,16
3.68,3.50,0.38,0.00,9.67,329609597,179781000,149817000,16
1.21,1.17,0.06,0.00,3.02,102539750,98574000,3982000,16
1.54,1.49,0.07,0.00,3.95,141032935,138990000,1999000,16
1.61,1.55,0.08,0.00,4.26,156268389,151120000,4971000,16
1.53,1.47,0.08,0.00,4.18,144931334,142916000,1998000,16
1.75,1.70,0.08,0.00,4.45,156240649,152190000,4005000,16
3.17,3.07,0.14,0.00,7.68,261429140,258397000,3004000,16
1.50,1.45,0.08,0.00,3.99,145221635,143103000,2001000,16
3.63,3.50,0.21,0.00,10.26,404885797,401351000,2995000,17
3.78,3.63,0.21,0.00,10.47,406012421,400012000,6000000,17
3.89,3.75,0.22,0.00,10.75,415130397,411110000,4001000,17
3.46,3.33,0.19,0.00,9.57,377255590,372274000,4990000,17
2.02,1.96,0.09,0.00,4.87,171618197,168606000,2993000,17
4.59,4.45,0.20,0.00,10.86,372331134,368203000,4002000,17
5.97,5.74,0.33,0.00,16.43,634563860,631554000,3002000,17
3.85,3.72,0.20,0.00,10.25,394642658,392609000,2003000,17
3.26,3.13,0.19,0.00,9.29,371587659,370448000,1001000,17
3.45,3.30,0.21,0.00,10.02,402988863,399855000,3006000,17
3.44,3.30,0.20,0.00,9.82,393196667,388172000,5002000,17
3.12,2.99,0.19,0.00,9.15,368080302,364064000,4000000,17
3.25,3.12,0.19,0.00,9.16,365111429,364056000,1000000,17
3.54,3.39,0.21,0.00,10.07,399851023,394824000,4997000,17
3.52,3.38,0.20,0.00,9.99,399454049,393423000,6006000,17
3.60,3.45,0.21,0.00,10.27,402362095,397344000,4991000,17
3.57,3.44,0.19,0.00,9.70,370618541,367506000,3004000,17
2.57,2.46,0.15,0.00,7.40,292986204,289970000,2999000,17
3.33,3.21,0.18,0.00,8.92,332841056,328656000,3995000,17
3.24,3.11,0.19,0.00,9.29,369605381,366579000,2996000,17
1.76,1.69,0.17,0.00,4.50,152191862,148851000,3017000,18
1.79,1.74,0.08,0.00,4.25,144470652,141445000,3009000,18
1.73,1.69,0.08,0.00,4.22,145389153,142384000,2987000,18
4.30,4.09,0.41,0.00,10.98,373949794,239336000,134626000,18
4.40,4.19,0.41,0.00,11.17,373804153,235848000,137911000,18
0.61,0.60,0.03,0.00,1.44,46641422,42651000,3967000,18
5.78,5.58,0.37,0.00,15.31,511074839,370953000,139982000,18
4.41,4.19,0.41,0.00,11.17,370347533,229191000,141118000,18
0.94,0.91,0.04,0.00,2.27,75236151,72181000,3007000,18
1.98,1.91,0.17,0.00,4.91,161593206,156582000,4986000,18
2.06,1.98,0.19,0.00,5.41,184123884,181102000,3001000,18
1.55,1.49,0.08,0.00,3.95,138455070,136293000,2004000,18
0.85,0.82,0.04,0.00,2.09,69359912,66311000,3014000,18
1.64,1.56,0.16,0.00,4.23,140479934,133255000,7013000,18
1.33,1.30,0.06,0.00,3.32,115437955,111438000,3979000,18
2.93,2.82,0.22,0.00,7.24,243537408,235495000,7982000,18
1.68,1.60,0.16,0.00,4.36,147557326,141509000,5979000,18
3.42,3.29,0.27,0.00,9.08,325465620,322453000,2994000,18
1.60,1.55,0.08,0.00,4.00,139270820,136234000,3005000,18
1.73,1.65,0.16,0.00,4.41,146929149,141886000,5031000,18
1.36,1.30,0.09,0.00,3.62,125352306,2914000,3436000,19
0.91,0.88,0.06,0.00,2.40,80149917,49033000,31021000,19
5.03,4.90,0.26,0.00,11.72,388637807,347567000,40949000,19
3.92,3.79,0.27,0.00,9.74,334596683,271627000,62913000,19
1.13,1.09,0.07,0.00,2.77,93415083,1046000,5230000,19
0.99,0.95,0.08,0.00,2.62,91777541,57848000,33911000,19
1.11,1.07,0.07,0.00,2.84,92444920,3419000,2799000,19
1.57,1.52,0.10,0.00,4.11,135542245,75729000,59786000,19
1.00,0.95,0.06,0.00,2.68,86490103,53232000,33144000,19
1.13,1.09,0.07,0.00,3.00,100173245,71108000,29044000,19
1.63,1.56,0.14,0.00,4.29,147121995,74052000,73051000,19
1.09,1.04,0.09,0.00,2.83,97686215,66777000,30896000,19
1.70,1.62,0.14,0.00,4.27,143971530,79968000,63974000,19
