@relation problema-weka.filters.unsupervised.attribute.Remove-R2-5

@attribute pkg numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
0.69,56512448,53459000,3026000,25
0.74,59903643,52889000,6985000,25
0.79,66154403,61116000,5009000,25
0.76,62081193,55048000,7006000,25
0.83,70277317,62197000,8025000,25
0.83,70143481,67046000,3002000,25
1.45,116365679,112207000,4007000,25
0.88,73989577,60881000,12974000,25
0.67,55597204,52433000,3025000,25
0.72,60031986,55000000,5000000,25
1.45,119177280,114160000,5007000,25
0.73,60870616,53759000,6968000,25
0.76,65721772,63679000,2021000,25
1.98,190614058,176622000,13970000,25
0.75,62038115,57010000,5000000,25
0.97,82838566,69838000,12969000,25
1.48,120447156,115397000,5017000,25
1.6,127694477,122637000,5026000,25
1.23,102070677,97044000,5002000,25
0.6,48802725,44462000,3952000,26
1.47,116693121,114668000,1994000,26
1.41,132810805,121798000,10981000,26
0.65,49788519,44687000,5078000,26
0.61,58219093,51169000,7023000,26
0.51,51948908,46937000,4993000,26
1.31,101066009,97982000,2999000,26
1.41,113886454,107824000,5990000,26
0.12,9418344,6533000,2800000,26
0.62,52100893,46982000,4998000,26
1.28,101849900,97899000,3955000,26
0.58,47192530,41131000,6019000,26
0.64,51466688,43518000,7912000,26
0.62,51945190,47794000,4067000,26
0.66,58245113,54197000,4014000,26
0.64,54135196,47017000,7002000,26
1.31,102481980,99354000,3010000,26
1.33,103524971,100482000,3014000,26
1.28,102176128,100130000,2002000,26
0.61,50078830,47044000,3002000,26
0.92,75978141,70541000,5038000,27
0.89,74430670,67361000,7037000,27
0.91,75283338,68226000,7023000,27
0.88,73256495,69135000,4007000,27
0.93,77294676,73162000,4008000,27
0.87,72263524,66112000,6010000,27
2.17,170356763,160396000,9962000,27
0.91,76843300,71833000,4988000,27
0.92,75859128,71792000,4044000,27
0.87,72952447,68861000,3991000,27
0.87,71432612,68386000,3017000,27
0.86,72440486,70311000,2008000,27
0.86,73712298,68689000,4977000,27
2.11,169578382,164477000,4984000,27
0.89,77080747,69970000,6997000,27
0.95,80940544,78840000,1995000,27
0.85,73179194,64106000,9014000,27
0.85,73104353,65920000,6991000,27
2.05,164299525,158311000,5974000,27
2.18,174874459,171827000,2996000,27
1.45,112281613,109640000,0,28
2.15,164393488,162348000,2004000,28
1.52,127529108,125526000,2008000,28
1.52,125364494,122317000,3007000,28
3.03,260154352,258134000,2001000,28
2.35,201021480,174001000,27000000,28
1.97,161501122,133397000,28083000,28
2.12,187778126,160637000,27107000,28
1.13,92431492,88361000,3971000,28
1.95,170618178,147479000,22919000,28
1.35,103147313,101031000,2000000,28
1.27,94574450,92483000,2010000,28
1.37,102419398,100297000,1986000,28
0.75,58924593,54902000,3992000,28
1.06,84011142,83993000,0,28
1.19,102540025,101534000,995000,28
1.79,153227054,123074000,30018000,28
1.88,154693401,126590000,27909000,28
1.32,101642840,99607000,2012000,28
2.2,183197980,160159000,23022000,28
0.43,34818724,29402000,5069000,29
0.49,40504821,36535000,3949000,29
0.43,34586466,29622000,4937000,29
0.29,23369561,21242000,2023000,29
1.78,160117271,103070000,57039000,29
0.3,24266674,20206000,4041000,29
0.31,24878789,19883000,4970000,29
0.3,23543716,17551000,5850000,29
0.63,51625735,41676000,9922000,29
1.99,171856568,82900000,88893000,29
1.93,181827295,123858000,57933000,29
1.88,171032790,113004000,58002000,29
0.42,34442066,29396000,4899000,29
0.27,23489591,19571000,3914000,29
1.73,167305225,108174000,59095000,29
0.42,33317520,27237000,6052000,29
0.61,51508789,41588000,9901000,29
0.3,23232897,21189000,2018000,29
0.5,40027104,37001000,3000000,29
0.46,42354149,37413000,4922000,29
1.53,130224388,123669000,5984000,30
1.47,125425865,118384000,7022000,30
1.69,140408345,135336000,4975000,30
2.45,194596279,187592000,6984000,30
1.5,129925740,125901000,3996000,30
2.17,191602437,159437000,32087000,30
1.34,114102582,107076000,7005000,30
1.78,146140288,137095000,9006000,30
2.21,183982421,175928000,7996000,30
2.41,212902197,180883000,31979000,30
1.44,123958742,116805000,6988000,30
4.65,416871725,374755000,41972000,30
1.78,153008885,146982000,5999000,30
1.98,175495427,165436000,10026000,30
2.46,238368571,192291000,46069000,30
3.02,255191584,226132000,29017000,30
6.16,569886127,559837000,10014000,30
2.04,177725114,144753000,32943000,30
1.46,124963838,119945000,4997000,30
3.73,307807949,265811000,41970000,30
2.29,215890705,215522000,0,31
0.78,77480296,75468000,1986000,31
1.32,131880966,130774000,998000,31
1.3,129052064,128040000,1000000,31
1.19,132071477,2289000,3978000,31
0.25,22668970,19612000,2941000,31
2.2,211272622,210276000,1001000,31
1.3,132333397,131326000,994000,31
1.4,139824459,134738000,4990000,31
1.32,133165099,132035000,1000000,31
0.94,91767346,90693000,996000,31
1.44,139875749,138826000,998000,31
1.31,138218869,137175000,1001000,31
1.34,133952772,133950000,0,31
1.47,120187682,119177000,1001000,31
1.46,121237591,119151000,1985000,31
1.52,144344095,143329000,1002000,31
1.47,119852811,118841000,998000,31
0.1,9727047,8762000,973000,31
0.36,35077786,34062000,1001000,31
