file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
8407108.exe,179138532,248908241,1396266,250601,49714477,374364,2478,52521548,367371,72805170,1962356,32328657,790212,175900,34392,36315,32250,75824676,11219,32670132,19686,23143,2931,62843000,8977000
8457226.exe,177421994,248472673,1385568,283972,52684165,375091,2479,52432990,363791,71483651,1947521,31891141,729065,167561,24347,36052,29189,74949032,10415,31204563,19120,18483,4554,65587000,5045000
8459541.exe,293373392,550196420,1822255,350936,112627352,598024,2474,111641076,597921,177406419,2132050,92963293,979245,144229,23223,33358,26808,185897487,11024,92540243,16743,26335,3594,101615000,9054000
8492597.exe,294608225,550931298,1813173,348914,112255418,590130,2475,111263174,588538,177340455,2217266,93130588,1053287,141939,22130,33107,25527,186206087,9488,93585615,16502,23888,3260,98534000,11943000
850185.exe,300861371,557074771,1634829,314550,119092942,1097696,2474,117755493,1086070,172405042,2438614,91917383,1135386,145771,24894,33988,25273,188911572,7550,97543355,16093,30239,4392,108383000,4014000
8536161.exe,177865471,244978050,1388890,288658,52616053,378667,2477,52914712,375074,71816161,2035243,31925758,823758,171817,23149,35890,28854,77225908,10056,32111539,19439,16335,4628,56439000,13102000
8545589.exe,176221546,244936287,1469051,296055,52575485,368772,2477,52782730,365338,70641368,1905434,31860096,806360,170499,23662,36414,29173,75268244,10567,31284459,18490,20117,2600,62065000,7881000
8546342.exe,180035976,245404987,1368227,264570,51347935,376137,2478,52676696,366271,71603600,1937507,31881018,779253,178930,26571,35505,29470,76731423,10228,31802396,19211,22009,2728,62791000,7973000
8693929.exe,296276657,547277106,1861550,347912,111375092,669420,2474,107944845,668229,172266697,2303408,92428742,988350,144454,23966,32362,27145,189983226,8082,96199137,17234,30262,5897,103489000,7960000
8739063.exe,179187431,252774375,1469923,204929,51084710,391954,2479,51708424,381647,71532896,1855287,31673581,780591,181900,30468,36361,31297,76871317,9622,31991603,19086,23639,2575,65126000,6011000
