file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
2950717.exe,3932228146,1805128,1215806689,2686297,1215050139,2677600,913278,7259772,5904711429,299801,3928542200,467,81741,12083645063,1111,43.68,36.65,1732159230,1725490000,5994000,1753447076
3093096.exe,1747815795,3284633,629804426,1985992,630590677,1981847,1369742,5131791,3111616000,413681,1746686424,256,121430,5572009130,13798,22.48,18.75,914964856,878633000,36025000,935788022
3094511.exe,2322571826,1290380,910385035,2135906,909467014,2136652,665046,4207185,3134785689,195654,2316136535,316,52452,5981715813,2519,23.13,19.4,917878916,913475000,3997000,939106332
3095657.exe,2527380066,896459,614794466,1748236,614171322,1752932,460012,3336178,2496392605,130714,2522319364,100,30878,5780830707,1107,18.11,15.2,729354485,726081000,3000000,750212620
3097233.exe,5174825290,2771874,2035907085,3466037,2035561165,3443717,1327638,10569271,8691410995,368706,5170664081,685,121094,16014151200,2088,63.84,53.49,2543487338,2538121000,5000000,2563450494
3170097.exe,1624762451,1282811,311606933,1927780,311524049,1925277,578106,3976412,3059654644,202023,1623226139,283,71876,5887032139,4038,21.67,18.09,897093508,891662000,4998000,917497697
3264125.exe,4834330205,2251215,1416984493,3081996,1416473514,3067767,1100187,9024574,7365256526,537771,4830334687,626,109552,13490272098,1105,55.2,46.36,2162749193,2159127000,3000000,2184054199
3292593.exe,3029934376,1360409,912859671,2230051,911805121,2222621,715227,5307288,4196909074,179743,3024315331,289,55571,8778259094,1105,30.59,25.66,1233184340,1231304000,1000000,1254245909
3521391.exe,2139117884,3680515,224119459,4126926,223829075,4127213,1755037,13567608,11389386194,488345,2138416241,987,157182,3427635687,2081,84.84,71.26,3344187316,3338295000,4998000,3365176295
3525212.exe,1319833029,1011779,210421253,1695503,210350765,1704364,480041,3031970,2236976747,162980,1320089993,345,62760,4873377738,4038,16.18,13.51,658168083,651704000,5997000,678203382
3634165.exe,3373757562,3243704,1236699373,3608885,1236918575,3621613,1459091,11378103,9400583081,411192,3370530193,504,154607,9113477567,4041,69.37,58.11,2761592480,2752201000,8997000,2782867181
3634876.exe,2622932719,1627975,612293323,2204906,612525068,2193655,691816,5215600,4120540843,238933,2624468866,495,87637,8670465120,4034,30.21,25.26,1214538257,1203961000,9991000,1236198379
