@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
4.93,4.77,0.24,0.00,12.37,423206895,359143000,64025000,3
2.80,2.71,0.14,0.00,7.22,238580547,237422000,1001000,3
2.69,2.60,0.14,0.00,6.88,238334970,228204000,10008000,3
4.77,4.61,0.23,0.00,12.48,417413625,351330000,66062000,3
3.16,3.05,0.17,0.00,8.11,276311270,269273000,7007000,3
4.17,4.03,0.21,0.00,10.60,369284890,303133000,66029000,3
4.88,4.73,0.23,0.00,12.54,424136759,353055000,71011000,3
4.03,3.90,0.21,0.00,10.87,374643003,334607000,39953000,3
4.23,4.09,0.21,0.00,11.21,379371204,312242000,67052000,3
3.12,3.03,0.17,0.00,8.21,274871687,264782000,9991000,3
2.64,2.55,0.14,0.00,6.94,233177524,224025000,9001000,3
2.72,2.64,0.14,0.00,7.18,238968445,233684000,4993000,3
2.79,2.69,0.14,0.00,7.28,239525942,233372000,6009000,3
4.08,3.95,0.21,0.00,10.55,364990070,291858000,72964000,3
4.79,4.63,0.23,0.00,12.51,416526951,351540000,64915000,3
4.86,4.71,0.23,0.00,12.74,423806294,377639000,45956000,3
6.29,6.09,0.36,0.00,16.86,572134122,511981000,59997000,3
6.39,6.18,0.35,0.00,17.11,575145044,504010000,71001000,3
2.59,2.51,0.14,0.00,6.93,236385589,229328000,7010000,3
2.84,2.75,0.14,0.00,7.31,236663192,228643000,7987000,3
4.77,4.62,0.23,0.00,12.66,419058920,347018000,72003000,3
3.36,3.27,0.16,0.00,8.65,286521837,282486000,4006000,3
2.73,2.64,0.14,0.00,7.11,239633446,233614000,5990000,3
2.77,2.68,0.15,0.00,7.40,246836868,241818000,4996000,3
3.91,3.79,0.19,0.00,10.06,330199677,328171000,2001000,3
2.68,2.60,0.14,0.00,6.91,234227724,229202000,5004000,3
5.10,4.94,0.25,0.00,13.48,448282164,378337000,69877000,3
2.78,2.69,0.14,0.00,7.25,240487981,233356000,7010000,3
4.44,4.31,0.22,0.00,11.75,394754549,386751000,7994000,3
2.71,2.63,0.14,0.00,7.13,239740396,232709000,6991000,3
6.61,6.41,0.31,0.00,17.27,574836136,511831000,62979000,3
5.19,5.03,0.25,0.00,13.68,453291217,394212000,59031000,3
4.06,3.93,0.21,0.00,10.82,363979689,357891000,5998000,3
4.66,4.52,0.23,0.00,12.40,412512502,351487000,60911000,3
2.74,2.66,0.14,0.00,7.17,238637358,234616000,3993000,3
2.70,2.62,0.14,0.00,7.15,237980778,227953000,9997000,3
4.75,4.60,0.23,0.00,12.63,422038461,362937000,58989000,3
4.71,4.55,0.24,0.00,12.68,428322699,370262000,58041000,3
2.70,2.62,0.14,0.00,7.05,232505295,222499000,9977000,3
2.76,2.69,0.14,0.00,7.20,238572833,233533000,5011000,3
8.66,8.39,0.46,0.00,22.88,762862046,698845000,63985000,3
2.75,2.66,0.14,0.00,7.13,235036876,228007000,7000000,3
4.03,3.90,0.21,0.00,10.93,364031226,306766000,56956000,3
2.77,2.68,0.14,0.00,7.13,240009900,235972000,3999000,3
6.37,6.18,0.31,0.00,16.49,536687971,525671000,10993000,3
3.69,3.59,0.19,0.00,9.40,320743732,314627000,5992000,3
2.70,2.62,0.14,0.00,6.96,234771847,229744000,4994000,3
2.74,2.66,0.14,0.00,7.19,237884575,231733000,5993000,3
4.80,4.66,0.24,0.00,12.72,425722411,368728000,56958000,3
3.70,3.58,0.20,0.00,10.04,339214843,273052000,66012000,3
4.70,4.55,0.24,0.00,12.60,425196472,376161000,49021000,3
3.94,3.82,0.20,0.00,10.71,361374080,310296000,51048000,3
2.79,2.69,0.14,0.00,7.33,240491128,233423000,7012000,3
2.60,2.53,0.14,0.00,6.95,233892282,228873000,4997000,3
2.73,2.65,0.14,0.00,7.08,238180962,233148000,5003000,3
4.03,3.90,0.21,0.00,10.85,363944584,303695000,60137000,3
2.76,2.67,0.14,0.00,7.29,237903782,234881000,2998000,3
5.58,5.41,0.27,0.00,14.60,480252522,474223000,6002000,3
4.02,3.89,0.21,0.00,10.88,363050992,309868000,52977000,3
4.76,4.62,0.23,0.00,12.70,421893045,350859000,70971000,3
2.73,2.65,0.14,0.00,7.22,237408260,232367000,5007000,3
4.81,4.66,0.23,0.00,12.79,423340279,354242000,69047000,3
2.70,2.60,0.14,0.00,7.07,238445898,235276000,3003000,3
3.31,3.20,0.17,0.00,8.96,301511124,229546000,71858000,3
3.56,3.45,0.17,0.00,9.14,299702379,295641000,4008000,3
4.88,4.73,0.24,0.00,12.90,428920456,356826000,71965000,3
2.65,2.56,0.15,0.00,7.03,247015213,242988000,3999000,3
3.97,3.83,0.20,0.00,10.73,361429725,295104000,65800000,3
