@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
264106523,50678205,518468,75237,4185263,158236,132,4128730,142302,3395714,203411,961806,234244,60570,?,26687,?,667287,9235,731123,2436,261,5610,77076489,75727000,996000,98240875,1
208912243,118458421,355524,39907,5182998,183595,63,5141126,177660,2017331,134816,822326,210304,49864,?,21966,?,566004,7511,606655,1790,0,2712,63101816,61887000,998000,83757030,1
1316936620,437814952,1962766,322398,84851933,4752198,1810,84398764,4773281,10318331,753133,7299643,1316281,332577,?,242777,?,7642523,84488,6540833,20788,94,24986,388162364,384869000,2998000,409134758,1
1963796524,2326256265,2483993,290265,218376265,637723,130,218230950,622095,13062277,725674,11423167,1762649,476134,?,201943,?,10494876,75931,10716310,16781,278,28407,576924232,575586000,999000,597552089,1
215117526,126577057,428673,59058,5987306,221870,130,6081509,226260,3508064,202903,988325,244842,70536,?,26892,?,708660,8014,643987,1857,0,2884,65718041,64449000,991000,86274310,1
210598423,111206859,500879,73110,4165103,148774,132,4177409,142216,3667965,210510,586555,190775,49748,?,21833,?,530703,7054,590341,1741,127,3513,61340042,59028000,2000000,83530227,1
228432295,126654518,426435,68373,3925439,136125,127,3797592,131872,3172351,191274,1245031,246487,69905,?,27946,?,1190123,12587,988551,2219,0,3036,69459779,68160000,1002000,89787703,1
1028327390,1120316333,1476274,175711,107308219,381803,131,107405582,384826,5895822,429754,2913612,869799,236261,?,105223,?,2490956,33831,2760342,8310,0,12955,299958835,298636000,1002000,320056205,1
144542077,84202194,374598,49946,4086813,109448,133,4224594,115762,3115911,182450,1015424,222061,59158,?,19635,?,848000,10553,801183,1721,252,2564,45709487,44468000,1010000,67297921,1
95682556,86043454,381526,87949,5914104,189100,128,5564040,181819,2376596,139704,535100,120332,37376,?,13010,?,785899,8827,677846,1171,0,1330,28951913,27173000,1006000,50605195,1
267140820,144786206,506993,70738,4262254,163473,135,4288410,162755,3984576,223352,1172900,261416,69672,?,28221,?,703017,9339,760225,2232,0,3403,79831925,77582000,1989000,100991441,1
145287110,85007321,335500,49645,4115619,102331,130,4215477,111968,3126205,180491,830443,168779,50992,?,18880,?,414349,5239,441468,1263,0,1921,45621465,43367000,1971000,66142300,1
1305267439,1956373491,1776663,201920,157323167,9057928,131,155812209,8966884,108769744,509343,106181439,1225250,329909,?,144296,?,106879448,50385,108157866,11372,599,22742,386207535,384922000,999000,408015648,1
136892085,131955694,341444,46928,13372413,198557,132,11895055,183975,6436384,181658,3519892,186852,43546,?,16218,?,3495850,6611,4646217,1257,0,1917,43794389,42537000,989000,65757981,1
1055093746,1159657824,1552406,183235,119473376,703929,132,119270661,713490,7029517,393001,4638072,913693,239448,?,109387,?,4753540,40635,5120740,9620,659,17062,313933428,312563000,1001000,335777859,1
112792347,107627350,366494,51543,3842388,119910,128,3759924,99180,2927803,156838,393656,118582,31608,?,13247,?,336762,4392,370509,1500,62,3662,36605286,35264000,1007000,57202004,1
71422879,63150227,244056,36284,4634472,155291,130,4628905,163990,2814856,121705,535355,116835,22665,?,8583,?,240267,2803,247732,692,0,1040,24214062,21895000,1990000,45429656,1
94370748,68717484,351910,52021,6085030,654090,132,5925800,669832,2644831,137796,396088,110242,28499,?,13578,?,733910,8672,659963,1501,75,3906,32871984,30587000,1973000,54446030,1
432055886,244912516,726789,120777,6325355,200399,133,6205830,182625,4267350,245717,1552178,418210,110315,?,45979,?,1612068,19461,1225233,3639,251,6180,128045822,125500000,1992000,148710270,1
1333391800,1387545626,1921710,246933,125424803,469593,133,125480899,469309,71704990,522438,69441056,1204224,316181,?,140444,?,68995978,52419,69689215,11799,478,20806,394884204,393300000,998000,415770401,1
84551741,81236863,286666,43505,3550664,82824,132,3316174,76409,2469372,112469,524764,122843,36809,?,12812,?,824261,9387,443466,900,0,1240,28794603,28435000,0,49898824,1
215615823,114332559,451038,82714,4091219,133465,136,4202179,143966,3717931,208862,1099761,250880,71464,?,25780,?,677518,7629,630101,1845,0,2815,65820281,65208000,0,87889545,1
77725028,74397495,266729,39781,5092074,83007,127,5023475,87142,2738055,148260,548572,123826,36130,?,10387,?,244796,2974,286591,737,6,1154,25166662,23796000,1034000,47744658,1
