file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
4176362.exe,957842165,1342999865,2045889,702613,244147643,1658031,11861,242839705,1640757,360052872,9241418,242363821,1168623,552213,<not supported>,1108917,<not supported>,366722378,3414104,244613356,282771,469,679611,282699290,216319000,66097000,304614711
4210829.exe,688950820,1679426068,1159436,184541,278224409,1210173,1962,277102241,1216970,394625044,7473676,263991097,894591,360420,<not supported>,288843,<not supported>,399023259,250106,273885026,11967,0,16630,205290061,199962000,4999000,227191502
4239983.exe,1477955601,2558905935,2971363,774071,482773864,2228130,6619,487732641,2202677,814656648,10918322,505688618,1603603,501609,<not supported>,458555,<not supported>,814685500,2605941,496051884,267240,843,614455,436256156,369956000,65992000,458098590
4267993.exe,608573896,1421571185,1168653,257331,240001111,2359288,4042,235470466,2337008,361773173,5475567,246585831,709737,294094,<not supported>,473214,<not supported>,375423922,799397,254137558,207636,397,13119,180407107,170061000,10003000,201733532
4371445.exe,1791052527,2746569428,3042189,731712,478041790,2121699,4036,475555785,2133797,905199596,31690914,553699257,1912924,686240,<not supported>,200000,<not supported>,933492761,3358181,558573220,617179,1801,1060435,531535481,462025000,69003000,554179725
4526562.exe,1483394422,2598901938,2888292,582444,474576753,2667057,4036,478434237,2666849,812573055,10995750,477551508,1700916,580793,<not supported>,479430,<not supported>,813680496,2752581,470102125,249745,1079,704313,439023683,378810000,59970000,460813499
4558965.exe,972374315,1695095193,1522913,217509,279454291,1515800,3846,278154886,1485848,426327976,13284935,286065592,1120934,516867,<not supported>,730916,<not supported>,422398689,1909721,288110646,231525,489,640433,289484862,236837000,52184000,311162725
4561699.exe,880521505,1534846561,1881610,359702,216522049,693999,5605,222058860,705197,510176523,49649363,274846575,1021408,467698,<not supported>,792793,<not supported>,501773453,958510,275518118,192649,14,41009,262833372,249395000,12968000,285103462
4577882.exe,1079676146,1630993991,2044689,443586,275870539,1982776,4620,280132394,1998464,510189487,7349307,336895628,1225295,423731,<not supported>,557291,<not supported>,505977671,4310420,338665267,262491,0,595427,322106814,259553000,62132000,343859717
4619221.exe,346081371,793892203,704214,152655,137463244,324929,2966,132736714,316386,193396127,2029097,95783894,514963,982378,<not supported>,539022,<not supported>,205295646,59885,97669819,8776,5,7371,105246251,97792000,6985000,126813678
4649754.exe,469330722,1122570982,936013,189283,187604121,775270,2183,183809477,760991,261278356,2936133,159627393,579787,252841,<not supported>,171518,<not supported>,285118356,638989,166080175,6552,130,10489,139981222,134489000,5018000,161587437
4698440.exe,1221583029,1894873274,2024050,302514,381383204,1904522,1691,380376224,1901396,606235522,1248102,339167015,1624591,407448,<not supported>,372958,<not supported>,628814180,2640057,341994323,217799,921,1052472,359071876,296699000,61937000,380446686
