file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
2434772.exe,109921494,3251481,76269657,874032,76198400,846298,750460,2930912,259537744,756502,112243450,213,16472,380976107,2487,1.8,1.47,79470782,72094000,7009000,101099016
2455153.exe,105838265,2799701,77092270,572745,77978186,564904,508674,2522341,229374405,524556,103262984,2015,13941,369012579,1866,1.6,1.31,71272498,59979000,10996000,92886222
2507278.exe,110977746,2914301,77414567,706314,77222735,593205,510250,2627280,235264188,562444,110053834,15,16107,380734651,2818,1.65,1.35,72829442,66468000,5952000,93835510
2551095.exe,318531365,2841191,199150904,1159917,194976014,1300345,561871,3014260,500533252,657616,307357819,270,18007,943916002,2002,3.59,2.98,150903594,143537000,7026000,171911460
2596867.exe,106489769,2783548,76908298,503656,77755827,563168,482433,2470766,225102717,589004,106984863,156,11000,361505098,1886,1.59,1.31,69399305,63094000,6009000,90056363
2629074.exe,312249299,2908643,193841799,1256688,191538806,1233933,562419,3000931,493931781,578050,317662861,28753,16966,937619296,1882,3.55,2.96,144944414,138537000,5980000,166176889
2685390.exe,112230961,3444597,77479886,873784,76064425,771243,852517,2943942,270169428,773002,111658115,70,16087,388137211,2880,1.9,1.57,79036438,74646000,3981000,99227980
2947180.exe,107419374,2914673,77044503,606269,77399486,495299,489333,2543201,229030886,546768,106636683,222,12264,369271404,1957,1.6,1.31,70980030,60863000,9816000,91560877
2960949.exe,108447337,2834630,77301185,599761,78031745,581461,525426,2570700,233743301,518680,107812848,202,12708,375882390,1962,1.62,1.33,72181963,65902000,5991000,93136165
3086125.exe,157353671,10632735,114821770,5911887,116658821,5885240,2110793,8529328,724879759,3471970,161648069,75243,66901,530875234,3398,4.81,3.93,214279642,203929000,9996000,235220715
3569069.exe,203233719,11471427,165461802,943472,164892886,820754,4884504,10993650,761531328,1802330,200960546,874,356823,842592695,60165,5.43,4.46,225201580,135842000,88896000,245548768
378160.exe,318535810,3396380,198662094,1285909,195513922,1316602,994061,3477130,550267211,795655,313859146,420,24043,955500166,2866,3.9,3.23,165514268,155069000,10004000,185553280
3974425.exe,113943763,3202662,79230606,746396,76752054,858476,822869,3101359,269014988,765703,109948780,2130,15855,392076459,2681,1.86,1.52,82624521,76272000,5943000,103252608
3982997.exe,106327040,2802748,77503871,579603,78510533,540812,482061,2491110,227488740,557092,105295318,8629,19194,366299689,2055,1.6,1.31,70275703,63997000,5999000,90800611
