@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
609076,81442903,48491856,1880941,48234331,1869006,115203,1447625,134562954,6325,74575213,917,2478,2937,320047503,2
825033,60340433,51537255,1912636,51436927,1964633,81997,1894439,125701261,5949,50585106,915,4083,12142,180186227,2
932809,176744423,127303361,128827,136671895,267671,409050,1913200,265310097,8227,204353695,1301,2622,8743,567374974,2
1046423,169137507,141273770,124815,140595664,712137,83068,1487085,248020114,6221,186381749,908,2228,6226,527553813,2
587789,164378665,131302874,128576,135744551,122601,136491,1681059,249642228,9220,218697044,1002,3042,9871,566015724,2
456094,166051548,139734165,95409,139985402,237751,45335,1144303,243794176,6266,188282124,521,1747,10368,528903148,2
557383,169638869,140373645,100371,134350087,1025123,47934,1176398,244678810,6307,177802255,518,1753,10804,529090411,2
351975,90720413,51586078,2022046,52551271,2101166,36916,947745,142140253,3543,72505137,526,2505,1931,290741105,2
512530,160661367,135435140,97705,136872506,95673,78003,1178692,245093227,7076,194750763,522,2704,9709,508899415,2
536547,170455619,141105973,96674,135893835,975351,38854,1157782,245362867,6284,179759701,519,2348,10249,525816535,2
326301,206442257,114112192,2510469,115287349,2625295,162767,1817870,264247029,7104,181550063,523,2684,13658,590534535,2
437920,167175486,142292640,100463,142290442,609833,43577,1178652,250361186,6319,185671469,520,2237,10120,531779191,2
223009,76941369,47074066,2047557,46745905,1983887,37553,1138511,127779810,5584,74253581,526,2814,2871,315249026,2
725147,298670181,243983905,1128034,245526577,950298,97037,2086218,454595439,14298,331671888,541,5299,10395,1201025718,2
590917,164655143,141989234,103672,141097152,536148,87906,1400754,253065396,9339,186030162,1004,3374,13781,531273183,2
