@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-ram/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1192620,124074,2347824,52404,2400697,52194,99232,662873,52817488,1644,249077,171,361,53845385,134,0.14,0.01,14137177,13868000,0,28363261,1
1444392,164200,3529965,74526,3306492,68721,95071,972065,189499348,5779,737784,857,1687,134682162,133,0.53,0.03,50866250,48648000,1985000,65098038,1
1117558,192992,53768095,107783,53737706,105448,109301,1702131,368347470,10448,804360,1185,2504,590299035,129,0.99,0.05,99543793,97385000,1987000,113517708,1
5601309,352488,112273901,206600,112318585,207896,159092,3712330,985988032,24219,5349098,2674,6343,1301266442,132,2.6,0.14,266012891,263913000,1999000,279986752,1
778156,140323,3560975,80210,3560875,80178,113143,1014155,188812231,5224,445099,1098,2133,130650436,132,0.48,0.03,52481906,52227000,0,66550913,1
35258551,205620,55592048,107834,55566269,104046,115396,1652184,367989493,9472,34939323,1182,2737,312586855,133,1.08,0.05,99417599,98201000,1002000,113629474,1
1302362,141098,3360317,61141,3360851,61300,97233,673593,92853891,2404,231705,688,1007,93056888,127,0.25,0.01,25099097,23896000,995000,39173266,1
3507071,443884,210435903,279651,210409322,281464,173419,5125747,1457618354,36132,2631005,3141,9072,2005975573,134,3.65,0.2,394181305,393024000,1000000,408308028,1
1084830,152146,3324150,67625,3226020,66037,97616,1024788,175608781,5517,708378,961,1668,135971018,128,0.47,0.02,48256475,47051000,1001000,62188649,1
1284673,239807,4132492,124609,4156150,117625,196188,1971433,431832667,12852,1503425,2336,3699,60628538,133,1.2,0.06,116208677,114860000,998000,130267272,1
2577192,166116,5991346,137162,6139222,144617,113211,1407180,272765302,8481,2625898,1559,1697,49538597,129,0.77,0.04,74074894,72845000,997000,88024361,1
33846471,501448,124059519,350949,124282507,348728,281277,5876394,1573688666,40875,33337770,5398,10255,1216416277,132,4.16,0.22,423662526,422400000,1000000,437923495,1
1031997,150839,3335605,67350,3207279,64789,98242,1031553,179415115,5778,781512,1044,1703,110693496,134,0.52,0.03,48254054,47008000,1000000,62349361,1
1259745,135711,4863187,534789,4704502,523423,89015,644406,72614700,2994,562751,735,1073,83034918,132,0.21,0.01,19840147,18555000,1030000,33678149,1
1197214,153141,3357300,68357,3268721,65569,95035,1028640,178164202,5733,695404,894,1693,117075560,133,0.5,0.02,48362828,47122000,1002000,62437983,1
408860,112861,3287964,65265,3206250,69466,99647,1022727,170487302,5895,706399,1029,1474,102844264,130,0.44,0.02,46569805,46317000,0,60823042,1
8618167,701962,7210810,67716,8532362,70953,540322,2059796,114285030,13868,10710607,17241,4829,115783131,3859,0.31,0.02,31494935,25175000,6042000,45888218,1
2668029,316569,4336330,158870,4312325,153563,120998,2578873,666487138,16913,1658131,2583,5368,99857648,132,1.89,0.09,179940473,177710000,1996000,194178611,1
1585860,148883,3300559,67566,3199925,70166,97144,1042457,173603782,6106,755048,1186,1756,133577550,133,0.49,0.03,47719356,47487000,0,61788770,1
979388,143749,6105890,148356,5987138,107194,86699,651025,88007152,2456,541267,771,1002,111799951,128,0.25,0.01,23790839,22564000,981000,37847018,1
194431873,707155,129873426,991355,128087064,1052487,253281,2672514,247046999,19593,177482742,13133,7116,575286961,910,0.72,0.05,95889425,87407000,7946000,162211179,2
192449129,500196,121253843,1457492,120698250,1474954,193346,1830924,253474501,9073,192655891,9218,4185,587567243,1004,0.87,0.04,68438699,66216000,2006000,82605144,2
131583350,6699375,89081984,1772442,91478020,1488767,1209862,7511763,336550910,103211,144585164,13928,5522,441127907,2869,1.05,0.06,90852491,86548000,4025000,105030681,2
