@relation problema-weka.filters.unsupervised.attribute.Remove-R3-5

@attribute pkg numeric
@attribute cores numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.65,1.3,85444872,79443000,5958000,23
3.25,2.63,155581958,148552000,7026000,23
2.76,2.21,134613201,127582000,6977000,23
1.69,1.34,85688686,74561000,11083000,23
3.27,2.63,156525109,149491000,7023000,23
2.56,2.08,118491803,115507000,2987000,23
3.29,2.67,152311749,143152000,9009000,23
1.37,1.07,72385281,60081000,12016000,24
1.56,1.24,78177195,68150000,10022000,24
1.57,1.24,81446785,72517000,8940000,24
1.92,1.52,97582563,89633000,7967000,24
3.15,2.54,151467316,145494000,5979000,24
1.3,1.02,67141438,60123000,7014000,24
4.77,4.06,163726883,159736000,3968000,24
1.7,1.34,86446852,82413000,4020000,24
1.52,1.2,77330529,70307000,7030000,24
3.24,2.61,156185172,151035000,5001000,24
3.08,2.49,146832330,141799000,4992000,24
1.38,1.09,72146026,68137000,4008000,24
1.32,1.05,67102983,59214000,7895000,24
1.55,1.21,80864893,73850000,6985000,24
3.08,2.47,146879435,140836000,6035000,24
3.14,2.54,149632579,141629000,7979000,24
1.53,1.21,77364621,67309000,10046000,24
3.08,2.48,147559616,141572000,5981000,24
1.81,1.43,91169172,85177000,6012000,24
3.08,2.49,145950151,139996000,5999000,24
4.75,3.81,233652115,225387000,8013000,25
1.46,1.16,73605896,69641000,3979000,25
1.62,1.29,81071227,73076000,8008000,25
1.75,1.39,87866319,79787000,8079000,25
1.59,1.26,80703239,75718000,4981000,25
1.81,1.42,96594614,89477000,7037000,25
1.87,1.47,95181043,89161000,6010000,25
3.31,2.66,158612399,153659000,4988000,25
1.89,1.5,93684487,80762000,12961000,25
1.45,1.15,72610740,69578000,3025000,25
1.57,1.25,79116533,70141000,9018000,25
3.35,2.7,161820069,154830000,6992000,25
1.59,1.28,77180274,69114000,8013000,25
1.69,1.33,88135130,81105000,7009000,25
4.48,3.56,222950586,208922000,13994000,25
1.58,1.25,82750534,76677000,6053000,25
2.19,1.74,108136280,93087000,15014000,25
3.43,2.76,164085476,159127000,4972000,25
3.64,2.93,173829221,166808000,6991000,25
