,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
11,2545079.exe,406681,14390243,7080141,781588,15527,72745,35673,60714,29471288,16675,28510598,14581,54281,513427,56919445,4350,35481913,1243,18789457,784,2392,1964,121554605,14974714,13633000,1048000,29132420
12,2745668.exe,444738,91403861,47720589,772179,18632,92850,72349,118058,82488064,108354,79458548,127814,188037,1954522,120383948,7833,93211453,12310,50512151,1940,10668,15893,291813130,32744649,32437000,0,46982531
13,2764661.exe,94911,91446674,45430219,542337,12640,64910,2221,14215,73567459,124440,70787575,101880,60957,952544,111547064,5604,103326587,262,53962775,521,1128,5941,299411809,30071806,28730000,1026000,44172671
1,279056.exe,530381,10472972,10369032,657216,16042,67308,41482,48066,26283797,15854,26204265,21512,56590,613364,51099355,2985,49542415,1240,6335019,525,2011,2798,140138820,13902346,13527000,0,28127525
14,2939537.exe,483334,6756810,7834027,625137,16339,64006,42403,50930,26536867,14152,26235657,14736,52747,448467,52332513,3169,29831414,1267,14965827,525,2059,3083,111586807,13861502,12560000,1046000,28061358
15,3043260.exe,32017,1361333,766538,153486,4711,23373,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,129,<not counted>,<not counted>,<not counted>,1669043,1451000,0,15645577
16,3147371.exe,301003,9555420,9000242,528152,14351,63158,26720,20188,21559786,12487,22267682,13797,48920,414971,41697745,5029,30322074,1467,12491162,590,10555,<not counted>,<not counted>,11552522,8486000,2828000,25629558
17,3162106.exe,233312,81530775,41207421,595686,12890,62867,31427,81154,51673316,52923,51007350,46123,105254,907447,102026127,5140,90263713,8146,45922588,996,3215,12014,256540373,27628394,25380000,1952000,41801948
18,3323395.exe,95415,92923629,46165514,541801,12231,64248,4055,16558,73951392,128194,71202660,104801,70734,932169,111894437,5370,103723752,301,54047987,520,1095,5231,299177255,30070082,28774000,1027000,44196979
19,3439954.exe,544047,22941967,13647918,692577,17748,69783,2674,13548,32514093,15875,33744645,27606,23993,693068,61260132,1691,41865965,293,3928636,525,1519,1339,125080624,16606298,15333000,1022000,30836048
20,3449984.exe,616508,32788712,10343891,722333,19441,96754,81604,56465,32539567,18839,31699904,18911,78651,687727,67523917,4106,45843172,1544,8369138,1042,1499,1080,132250635,18348827,16972000,998000,32334662
2,346612.exe,150318,87500779,44201878,625946,12059,73779,10523,50725,55952111,52075,57372056,47083,79750,819836,105613707,4926,95255116,3379,49587161,583,998,7220,282050424,29139446,27804000,993000,43210830
21,3565465.exe,122368,69754870,35412607,568409,12457,66343,3550,15878,50038442,23397,49841660,20300,26005,407389,88097753,2427,81413329,200,42199602,324,879,4487,234487580,23956882,21603000,2057000,38284170
3,3654061.exe,41149,1620974,724294,154224,3832,21702,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,134,<not counted>,<not counted>,<not counted>,1760353,1455000,0,16132460
22,3729533.exe,1230874,30344942,9048504,781465,20998,80622,3869,19176,35130121,14220,35161521,13675,56474,1027987,64869751,1859,46288536,234,6506926,919,1405,1094,126010170,17613780,13444000,3841000,31864770
23,3732533.exe,1429102,38421404,11194842,677180,19787,123676,171631,107236,33707762,21083,29016268,19489,163195,1087625,70887605,6504,47439299,2800,11712957,1945,2316,1460,154805213,19213997,16900000,1988000,33597477
24,3765927.exe,253672,9398586,8078592,631182,15408,82353,54513,39443,24114063,14342,22039604,13778,70844,486912,44714437,5750,28840365,2611,14737094,1041,5496,9354,12806432,12255087,10745000,1074000,26683249
25,3822578.exe,526621,25476781,12572761,759343,18932,74261,2186,12422,33729105,12235,33662718,22739,24727,735581,64250892,2258,43343034,345,3872006,527,1879,1825,121213582,17158741,14881000,1984000,31525553
26,3883933.exe,73313,1547695,716437,154960,3694,22658,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,129,<not counted>,<not counted>,<not counted>,1735378,1498000,0,15975029
27,3950735.exe,1635669,39940206,9041092,651911,20122,103446,168474,233299,30850677,24223,27357227,25419,215789,863005,71306231,6494,47242763,9259,11811625,1945,2406,2199,155216675,19338873,11958000,6975000,33577236
28,4068144.exe,49902,1613399,767890,161669,4417,23232,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,135,<not counted>,<not counted>,<not counted>,1785077,741000,741000,16102687
29,4072037.exe,549910,10454810,10735494,678085,16883,65933,43343,53437,27083234,15618,26979878,18876,68001,610918,53588936,3162,49443712,1198,6694067,522,1611,2065,145071879,14527012,10460000,3803000,28684070
4,4104687.exe,123167,79760377,38844844,469178,11821,65181,2360,13301,55378294,21552,55542956,19474,17566,466437,98960348,2555,91482955,273,47321345,523,1028,6588,261849086,26389960,24034000,2002000,40667979
30,4114470.exe,132065,91632614,44135390,528759,11688,66301,3919,14813,69830107,126296,67673155,100686,56288,927578,107580530,5530,101585993,283,53074522,522,1039,7849,293866151,29817269,27455000,1961000,43886676
31,4209745.exe,900444,53931416,12386334,674245,19809,70537,38054,45584,36142054,14718,36242579,16224,70564,344901,66925623,2618,56031780,2005,20690446,522,2254,2333,200683981,17817363,15625000,1953000,31987368
5,4227908.exe,108627,67723341,34816428,515424,12046,66881,4088,13588,49944689,24417,49857029,20808,24996,416227,87896421,2281,81771943,193,42485922,326,883,4127,236001504,23397660,22145000,962000,37639373
32,4305280.exe,280718,9446232,6621240,582038,13436,49979,860,6481,22547579,8175,22555508,15755,27982,327689,39581060,2936,28475898,476,8908822,330,<not counted>,<not counted>,<not counted>,10944885,8664000,1925000,25025408
33,4319837.exe,319493,9019161,8445300,487419,13212,50868,742,8197,22485376,11204,22631011,16786,29000,323997,39606925,2932,29817173,498,11592289,134,24129,<not counted>,<not counted>,11460743,10133000,1013000,25652671
6,4459631.exe,1120394,26582985,7399879,732673,18385,73307,4060,18591,37024640,14179,36737847,18492,57973,1072866,68028557,2075,43293365,252,3573642,918,1486,1171,124032773,18098113,13988000,3730000,32561266
7,4606651.exe,60003,72853114,34791497,545174,12281,68811,3667,10087,50006249,16437,49946175,17289,13410,369542,87648019,2357,81918826,199,42456315,326,883,5013,235858947,23386877,21084000,2008000,37832163
34,4643636.exe,1601716,40034709,9055699,640154,17393,109714,176553,252998,30179808,23791,26875585,22610,224451,856855,70552674,6569,47527118,12588,11774668,1944,1416,2164,155974078,19622154,14443000,4814000,33756704
35,4650272.exe,69072,1627875,779783,160442,4599,23962,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,135,<not counted>,<not counted>,<not counted>,1823332,741000,741000,15759633
36,4690871.exe,205619,8363111,6102157,526612,14216,51454,784,5932,22375079,9129,22368339,16630,31236,336668,39559582,3259,28834077,482,10087508,332,<not counted>,<not counted>,<not counted>,10842995,10598000,0,25011810
37,4717944.exe,124579,88721054,41883595,523331,12376,64234,2191,18056,70956020,113768,68629312,92605,61832,957589,110877105,4785,102536431,288,53395042,522,1103,6885,295853545,29656287,26428000,2936000,43966734
38,4771917.exe,860475,31094983,8237676,729595,18088,70075,42720,53595,26624548,17645,26584864,16525,75764,532197,52647588,2638,48709212,1537,9603391,523,1567,1652,162110124,15184489,14921000,0,29592504
39,480440.exe,460705,9443288,5749652,830306,15083,61000,1499,14029,28068028,12987,28005929,14941,27529,454686,52981863,2699,31829895,328,15621551,524,2173,2815,113695484,14022495,10801000,2945000,28176203
8,4983117.exe,126639,78006810,40510644,512689,11832,65795,33490,44359,54398442,22546,54310483,20842,49889,462457,97444677,3155,89110327,2546,46350940,522,1892,7036,257544112,26343319,25075000,1003000,40332155
40,5019612.exe,275134,87198068,46386974,664926,13036,69529,37682,39763,81739936,138097,74521066,118319,101574,1193380,117993243,7375,97884221,12212,52661998,1034,5934,14508,292994396,31398678,29120000,2008000,45382099
41,5124430.exe,20586,864771,735203,153158,4106,22065,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,137,<not counted>,<not counted>,<not counted>,1677799,1431000,0,15597086
42,5254730.exe,439165,86364780,46403078,770824,18208,86832,74947,119233,83527010,108526,80598727,127842,191919,2058674,124288991,8316,94931693,12827,50617518,1941,10508,19573,290796900,33108733,29822000,2982000,47530574
43,5308953.exe,199429,10200446,13001365,586033,16220,61346,16680,23541,31398013,13321,31261968,12092,29511,249714,55236243,3173,37413512,1370,25549729,320,2049,3877,135397549,14729559,12471000,1918000,28941463
44,532489.exe,105365,79974415,39812554,524709,11068,70519,28551,49910,55712923,29337,55711704,26641,64108,511974,100723216,3238,91382649,2637,47426249,520,1556,7192,263939472,27188087,25930000,997000,41510496
