@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pkg numeric
@attribute cores numeric
@attribute gpu numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
4.1,3.32,0.07,192016558,185961000,5998000,3
6.96,5.65,0.11,323091778,253047000,70013000,3
7.94,6.38,0.13,381270292,333191000,48027000,3
2.32,1.84,0.04,118586804,113586000,4981000,3
4.19,3.37,0.07,198946062,189879000,8994000,3
6.63,5.37,0.11,310084297,261049000,49009000,3
6.66,5.38,0.11,313192789,264131000,49024000,3
2.45,1.95,0.04,122401472,118346000,4011000,3
2.57,2.06,0.04,123760776,113676000,9971000,3
4.32,3.47,0.07,208618432,199452000,9020000,3
7.05,5.7,0.11,330868768,279899000,50800000,3
2.43,1.93,0.04,121232713,114055000,7003000,3
6.38,5.14,0.1,305569496,260523000,44917000,3
4.79,3.85,0.08,230624612,179340000,51096000,3
2.86,2.27,0.05,143624398,131611000,11964000,3
2.46,1.95,0.04,122941604,116812000,5990000,3
7.54,6.12,0.12,348278661,290174000,58034000,3
6.96,5.63,0.11,329619556,287339000,42049000,3
2.73,2.17,0.05,134771022,125781000,8984000,3
6.43,5.19,0.1,304927744,254903000,49980000,3
2.5,1.98,0.04,125081254,122041000,3001000,3
2.49,1.98,0.04,124484575,120384000,3979000,3
6.59,5.31,0.11,315501486,267300000,48054000,3
2.38,1.88,0.04,120272835,117285000,2981000,3
9.22,7.46,0.15,427976254,362931000,64987000,3
6.62,5.38,0.1,304272385,256126000,48023000,3
4.9,3.93,0.08,235403275,172550000,62836000,3
2.47,1.97,0.04,120944624,117845000,2996000,3
4.89,3.94,0.08,230877268,220907000,9950000,3
2.47,1.97,0.04,122723023,114715000,7980000,3
4.94,3.97,0.08,235454741,174556000,60845000,3
6.96,5.63,0.11,323342274,258277000,65070000,3
4.95,3.97,0.08,239811595,179823000,59941000,3
2.29,1.82,0.04,114402901,107366000,7023000,3
2.28,1.81,0.04,113724348,104630000,9054000,3
2.35,1.86,0.04,118846303,113828000,4992000,3
4.82,3.87,0.08,230759546,150806000,79897000,3
6.75,5.46,0.11,316898058,274880000,41981000,3
2.5,1.98,0.04,122704162,114624000,8043000,3
3.17,2.53,0.05,155770182,147792000,7988000,3
2.51,2.01,0.04,122774047,113851000,8910000,3
4.74,3.81,0.08,228494674,166328000,62122000,3
6.76,5.46,0.11,316471859,257308000,59070000,3
2.46,1.96,0.04,122048214,114021000,8001000,3
6.59,5.32,0.1,308630389,259579000,48920000,3
2.41,1.9,0.04,123269642,115230000,8016000,3
2.67,2.13,0.04,130365282,123317000,7018000,3
4.86,3.9,0.08,232903453,182697000,50191000,3
4.59,3.69,0.07,219915504,169826000,49949000,3
