@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
226358224,246337,138265205,460848,139771044,478703,166291,1498046,264108255,10721,234437402,6476,3104,700328336,323,2.31,0.96,0.92,0.04,0.0,71379518,70159000,1002000,85389777,0
246466504,515780,152557401,664356,153086079,659593,151213,2165530,498485047,115850,247041886,10745,253699,757055256,128,4.08,1.62,1.58,0.07,0.0,134899963,98783000,35921000,148921808,0
251013982,311123,156912215,653502,156938153,654111,186724,2259759,515640742,115536,253057481,218846,106842,779420402,130,4.27,1.69,1.64,0.07,0.0,138532632,109294000,29078000,152784068,0
236176178,239676,140559656,481460,141279538,491655,171291,1554486,275526668,10187,239074414,7513,3524,711955616,331,2.33,0.96,0.93,0.04,0.0,74983357,72771000,1993000,89232844,0
70437164,197557,46413555,182664,46485209,182535,137723,914366,99114741,4286,72235969,2565,1215,251378477,137,0.81,0.32,0.3,0.02,0.0,28099027,27881000,0,42215189,0
69174766,225137,46203902,180913,46219825,181199,138774,861681,98785210,3617,72398530,2001,1324,248631092,136,0.82,0.34,0.33,0.01,0.0,26754275,23592000,2949000,40540119,0
250118260,332471,155580880,744808,155918019,744200,157981,2374777,509380585,115938,250992071,21407,209296,774782186,129,4.24,1.6,1.55,0.07,0.0,141032219,115774000,24951000,155081069,0
253323406,311363,156154201,664508,156156103,664206,153838,2099545,507032794,115123,255405241,7950,105316,775560399,129,4.24,1.66,1.61,0.07,0.0,137024076,122850000,13982000,151513998,0
245350571,282676,152287319,633010,152552631,628523,144616,2071983,499851346,115763,246494573,11782,105863,757016869,129,4.12,1.62,1.58,0.07,0.0,134854648,130615000,4018000,148999399,0
71015554,197766,46072547,182325,46153695,183236,142812,909151,101859448,3905,73059438,4873,1219,256375604,139,0.84,0.35,0.34,0.01,0.0,27672938,27414000,0,41797703,0
