file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
3047601.exe,300765640,4789441,193798720,4964706,193853394,4920155,751900,3775472,602810503,546975,296378292,734,36770,1100599481,3652,4.22,3.49,180154137,170841000,8991000,201770434
3113504.exe,438329454,18291823,204837667,5154808,201674808,5084329,1467704,9085066,858254443,1636704,439142550,160,18791,1348418586,4048,6.17,5.14,254651192,247302000,7008000,275237313
3149650.exe,248277372,4718631,160895911,3854812,159677793,3864777,717781,3535564,501316066,438572,253396528,314,21345,898734989,2575,3.52,2.91,150980405,142603000,7977000,171649269
3242376.exe,277410796,4945832,182591312,4878270,182447529,4882057,710900,3772081,576298123,497606,276434141,1515,117774,1019433728,4612,4.06,3.36,174926920,167476000,7019000,195769208
3324029.exe,222308792,6937356,151267864,3675754,152172472,3698872,704907,4702292,493637282,647938,221540345,499,31709,801246329,2185,3.43,2.83,148264855,138956000,8997000,169508793
3583821.exe,290149998,4915489,186454276,4098412,184059804,4079196,677712,3713237,691811407,1664604,290518146,303,48995,1043282325,2572,4.84,4.01,208234619,180948000,26992000,228235372
3645873.exe,340746941,10700811,228381276,6521417,227165504,6428519,1157238,7566169,773532352,1497164,341380875,163,36090,1279774097,3505,5.49,4.57,229529551,218666000,9939000,250433119
3660770.exe,225014007,4369311,148174639,3533707,152062264,3589874,450949,3134383,458783293,406713,232936322,47,23806,815501750,2379,3.25,2.71,135186676,128897000,5995000,155631721
3722205.exe,821056465,14853509,501888357,6482369,503351319,6470436,3552096,11392763,1749739274,2692725,825023162,1610,593961,2520184480,7160,12.25,10.14,517797848,472444000,45042000,538247417
3806326.exe,223777093,13239890,196781598,2811696,196582530,2815507,1663370,8385260,651611321,2761771,224960017,272,49563,993621727,3404,4.54,3.75,195599764,187283000,8012000,216783262
3843447.exe,334940807,7602975,202136255,5030322,201607940,5034371,893909,5540723,698442286,738873,338838392,137,21254,1300061908,2963,4.94,4.11,207648787,200302000,7010000,228773409
3950897.exe,408173655,7830703,239794939,7429976,240405255,7487061,802473,5687819,830668902,1046035,404349791,279,38316,1470279033,4624,5.89,4.9,247927716,234590000,13032000,269128555
4006798.exe,228703691,4268404,150238801,3841314,149522155,3839415,604576,3239957,468538640,371676,233484517,110,15951,811781844,2576,3.34,2.76,142050452,132918000,8927000,162472740
4176362.exe,296813164,5919921,195958268,4205098,191496917,4108532,1392817,4779781,766424008,1891026,296037945,119,252261,1063413661,11861,5.39,4.46,228388215,181061000,47015000,249829898
4239983.exe,807075618,9196444,476413043,5224434,474444863,5258810,1848685,7182550,1469224835,2105111,800254207,307,309865,2471967508,6618,10.41,8.68,430680850,381341000,49043000,450809420
